零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,来料SNP,来料包装L,来料包装W,来料包装H
HQ1840618,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97A7909002BA,高音扬声器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.149,总装,纸箱,0.127,60.23,29.9,60.09,60,550,365,160
H97C2803019AA,前保险杠中支撑板,,,,,,,,,,0.054,72.0,10.0,10.0,,365.0,275.0,160.0
H37A5001226BA,蓄电池撑杆,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,2.0,采购件,0.046,总装,纸箱,0.052,375.0,229.0,140.0,,730.0,365.0,210.0
HQY37206135,六角平头铆螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,6.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97C5505019AABKAA,上面板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.9445,总装,天地盖纸箱,0.67,361,343,65,14,800,600,450
H97D3714001AAJG08,左后顶灯总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.032,总装,纸箱,0.007,20.0,6.0,6.0,,365.0,275.0,160.0
H53A3629001AB,带数据传输USB充电器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,0.04,总装,纸箱,0.06,50.65,59.02,51.9,180,650,435,210
H97A6103011BA,左前门玻璃总成,无,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,A,1.0,采购件,4.072,总装,轻钢,4.34,1147,963,184,40,1170,1030,880
1104234-RA51,燃油管单管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.005,总装,纸箱,/,/,/,/,/,/,/,/
H97C3609006AG,手机无线充电控制器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,0.257,总装,纸箱,0.034,40.0,10.0,10.0,,365.0,275.0,160.0
H97E5001060AC,机舱组合杆总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,4.094,总装,天地盖纸箱,,,,,,,,
H97A5515015ABJK05,后背门左侧装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.259,总装,纸箱,0.31,479,254,216,6,700,500,360
H97C1303141AA,中冷低温散热器出水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,,,,81.0,48.0,8.0,,365.0,275.0,210.0
HQY32006,搭铁螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A8405035AA,右遮缝装饰件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.125,154.0,56.0,50.0,,650.0,435.0,260.0
H97C1101003AB,燃油箱带油泵总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,,总装,纸箱,18,1248.68,212.45,697.77,8,1600,1400,1200
H97Y3714005AAJK05,前顶灯总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.77,总装,纸箱,0.9,232.17,101.59,290.64,6,600,400,280
HQY39705,簧片螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,5.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A8404011AA,排水管护套,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,2.0,采购件,0.0015,总装,纸箱,0.0015,29,28.96,9.2,1500,650,435,260
H97D3506002AA,制动管路2号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.104,总装,纸箱,0.026,25.0,10.0,10.0,,365.0,275.0,160.0
H97A2800010CN,车架右前段总成,防锈袋,有,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,A,1.0,焊装件,,焊装件,轻钢,15.009,1193,624,442,9,2300,1600,780
H97C3619812AG,车载充电机总成6.6KW,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,B,1.0,采购件,10.5,总装,纸箱,4.7,526.0,314.0,290.0,,1100.0,550.0,330.0
HQY1470620T8X1,十字槽六角头法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,4.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A5526008AAJG08,后排右安全拉手,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.13,总装,纸箱,0.605,1121.0,709.0,327.0,,1600.0,1150.0,780.0
H97C1311003AA,电机副水箱通气管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.061,总装,纸箱,0.0059,,,,,,,
HQY1401265T10L2QD,带导向六角法兰面螺栓和平垫圈组合件,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,12.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A5515020ABJK05,后背门右侧装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,0.276,479,254,216,6,700,500,360
H97A5013003AA,前罩隔音垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.527,总装,纸箱,0.102,1677.0,133.0,96.0,,1920.0,1140.0,545.0
HQY1851285T10L1D,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97D1303074AA,低温散热器出水管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,1.294,1500,546,153,5,1000,400,200
H97C1203001AA,前端排气管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,3.45,总装,纸箱,1.61,500,270,153,42,1330,1140,1150
H97A1103001AA,油箱盖总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.06,总装,纸箱,0.043,400.0,280.0,20.0,,650.0,435.0,260.0
H97C2803110AA,泡棉,,,,,,,,,,0.062,68.0,10.0,10.0,,365.0,275.0,160.0
HQY140B0640L1SA,六角头螺栓和平垫圈组合件,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.019,总装,STD,/,/,/,/,/,/,/,/
H97D1109016AA,空滤器支撑3,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.008,24.0,24.0,12.0,,400.0,300.0,148.0
H97A6104008AA,右前门玻璃升降器总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,1.55,总装,天地盖纸箱,1.384,613,597,101,24,1200,1000,760
H97A3602806AD,脚踢控制器,,,,,,,,,,0.63,1000.0,192.0,118.0,,1330.0,1140.0,1150.0
H56A8402039AA,发动机罩缓冲块,,,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,C,4.0,采购件,0.11,总装,纸箱,0.11,38,30,25,1400,650,436,260
H97X5518900BATE15,顶棚合件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,2.7,总装,轻钢,0.034,3100.43,1584.51,458.16,7,3100,1140,2355
H97C5013011AA,行李箱地板外隔音垫,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.3,总装,天地盖纸箱,0.143,688.69,958.95,187.71,40,1330,1140,1050
H97X3101031AA,右前轮眉装饰件本体,,,,,,,,,,0.0107,,,,,,,
HQY33112T10L1UA,全金属六角法兰面锁紧螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
HQY398B02,座垫卡扣,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.007,总装,STD,0.038,,,,,650.0,435.0,210.0
HQ1860616L1L,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97A3718014AA,右前门照地灯,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.068,总装,纸箱,0.0097,,,,,,,
H97A5501129AA,仪表板前端毛毡,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,5.0,采购件,0.001,总装,纸箱,0.001,25.06,40,4.4,3000,400,300,220
H97A5533008AB,右后吹足管道后段,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,0.1644,236,182,95,16,650,435,260
H97A5020001AB,前机舱封板左加强板总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,,,3.699,896,410,369,5,1330,1140,545
HQ1860816L,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97B2312002CA,前电机左前悬置总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,3.14,总装,纸箱,0.0129,20.0,8.0,8.0,,365.0,275.0,160.0
H97A5016005AA,堵盖Φ10,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,STD,0.0063,,,,,,,
H97A5207011AA,加液管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.1136,总装,纸箱,0.076,98.87,86.6,339.14,30,650,435,260
H97D1311014AA,蓄水瓶总成及附件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,1.123,360.75,201.4,289.18,36,1200,1000,1100
H97C8107002CD,前置蒸发器流出管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.488,总装,纸箱,0.0091,,,,,,,
H97E3501010AAHSKQ,右前制动器总成,防锈袋,,1. 核心防护：防油污、防划伤、防锈蚀；2. 性能要求：摩擦系数符合标准，无偏磨；3. 外观要求：表面无油污，无锈蚀；4. 尺寸要求：厚度、直径符合设计要求,B,1.0,采购件,,总装,木箱,0.0063,620,405,200,,,,
HQY1840825T10L1,内十二齿花形法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,32.0,采购件,0.018,总装,STD,/,/,/,/,/,/,/,/
H97A2804023AA,后保险杠左上安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.271,总装,纸箱,0.468,151.99,189.16,325.35,33,1100,550,330
H97A1104002AA,进油管2号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.045,总装,天地盖纸箱,0.0107,,,,,,,
H97A3102001ABPK01,车轮装饰盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,4.0,采购件,,总装,纸箱,0.031,69.24,69.24,28.58,100,600,400,230
H97X5501005XBAE01,仪表板总成,PE袋,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,自制件,,总装,铁架,0.082,1708,817,750,,730.0,365.0,210.0
HQY38001,塑料螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,41.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A5520163ABBEGA,左C柱下装饰盖板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.031,总装,纸箱,0.0091,,,,,,,
H97D3615818DA,水加热PTC总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,3.75,总装,纸箱,2.7,325,216,78,3,400,300,280
H97C2803015AA,前格栅总成,,,,,,,,,,0.056,60.0,10.0,10.0,,365.0,275.0,160.0
H97A3506013AA,后制动软管（右）,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,,,0.0295,35.0,10.0,10.0,,365.0,275.0,160.0
H97A5016006AA,堵盖Φ16,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,19.0,采购件,,,,0.0056,,,,,,,
H97D3101030ABBH08,右前轮眉装饰件总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷, B,1.0,采购件,,,,0.019,54.0,40.0,40.0,,365.0,275.0,160.0
H97A5520150ADBKAA,右C柱下饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.84,总装,天地盖纸箱,0.2,125.0,33.0,33.0,,365.0,275.0,160.0
H97D1303034AB,高温散热器进水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,/,/,/,/,/,/,/,/
H97D1303021AA,chiller2到四通水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.107,总装,纸箱,/,/,/,/,/,/,/,/
H97A8402021AA,发动机罩锁拉丝,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,0.105,总装,纸箱,0.0935,1399,745,376,40,650,435,210
H97A5511911BCBKGA,右前门槛迎宾护板合件,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.434,总装,纸箱,0.547,645,323,114,14,1140,1140,1090
H97A5701021AA,顶盖天窗加强环组件,防锈袋,有,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,A,1.0,焊装件,,焊装件,轻钢,0.06,50.0,10.0,10.0,,365.0,275.0,160.0
H97A5001021AB,副仪表板中安装支架总成,防锈袋,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,1.005（±8%）,总装,纸箱,0.361,211,205,137,80,1140,1140,545
H97Y2803005ABBK01,前保险杠总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,15,总装,天地盖纸箱,0.026,1978.35,620,745.412,,365.0,275.0,160.0
H97A5526007AAGZS1,后排左安全拉手,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.13,总装,纸箱,0.682,190.0,120.0,90.0,,650.0,435.0,210.0
HQ32006,六角法兰面螺母,,,,,,,,总装,STD,/,/,/,/,/,/,/,/
HQY32008T10,六角法兰面螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,10.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A5013001AA,左后侧围吸音棉,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.06,总装,纸箱,0.045,348.17,94.26,470.06,22,650,435,260
H56A1104023AA,油管双管夹Ⅱ,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,3.0,采购件,0.016,总装,纸箱,0.016,14,60.4,27,300,550,365,210
HQY215B0612,内六角花形大盘头螺钉,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,4.0,采购件,,总装,STD,0.593,461.0,267.0,83.0,,1100.0,550.0,330.0
H97Y8202028AA,后视镜螺钉,,,,,,,,,,0.01,,,,,,,
H97A6104007AA,左前门玻璃升降器总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,1.55,总装,天地盖纸箱,1.384,613,597,101,24,1200,1000,760
HQY2600821T8X2DS,内六角盘头螺钉和平垫圈组合件,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,4.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A5013016AA,左A柱内钣金堵盖,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.017,总装,纸箱,0.121,120.0,12.0,12.0,,365.0,275.0,160.0
H97A5533005AA,后吹足管道分风器总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.06,总装,纸箱,0.215,264,169,79,16,650,435,260
H97X6201166XA,左后门总成,防锈袋,有,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,A,1.0,焊装自制件,,,,0.004,28.0,27.0,16.0,,365.0,275.0,210.0
H97A3718013AA,左前门照地灯,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.068,总装,纸箱,0.0056,,,,,,,
H97A5501070AABKGA,仪表板右下底板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.411,总装,纸箱,0.319,546,276,68,6,650,435,210
H97D3730309AB,GCU搭铁线束总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,,,0.062,68.0,10.0,10.0,,365.0,275.0,160.0
HQ1840835T10L1S,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97Y8202025AA,右镜框,,,,,,,,,,0.095,66.0,37.0,35.0,,365.0,275.0,160.0
H97E6301002AB,背门饰条,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.261,总装,天地盖纸箱,0,1766,218,26,52,2045,750,1023
H97X3724101AA,前保险杠线束总成,,,,,,,,,,0.01,,,,,,,
H97C2803004AA,前保险杠右装饰板,,,,,,,,,,,241.0,286.0,369.0,,600.0,400.0,280.0
H97X9201003AA,E-mark标签,,,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,C,1.0,采购件,,总装,STD,/,40,80,0.15,3000,365,275,160
H97D1303022AA,PTC1到暖芯水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,0.033,25.0,12.0,12.0,,365.0,275.0,160.0
H97A3101020AC,右后轮罩挡泥板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,1.2425,总装,天地盖纸箱,0.942,988,716,419,15,1600,1100,1180
H97E8202013AA,左外后视镜镜片总成,,,,,,,,,,0.0171,,,,,,,
H97E6301075AA,后背门左侧扰流板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.211,总装,纸箱,0.509,481,293,274,6,700,500,360
H97C1303142AB,中冷水泵进水管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,,,/,/,/,/,/,/,/,/
